line,section_name,section_artist,song_name,artist_name,song_id
But I am able,If I live to be a hundred,Jessica Andrews,Who I Am,Jessica Andrews,555212
I am Rosemary's granddaughter,If I live to be a hundred,Jessica Andrews,Who I Am,Jessica Andrews,555212
The spitting image of my father,If I live to be a hundred,Jessica Andrews,Who I Am,Jessica Andrews,555212
And when the day is done,If I live to be a hundred,Jessica Andrews,Who I Am,Jessica Andrews,555212
My momma's still my biggest fan,If I live to be a hundred,Jessica Andrews,Who I Am,Jessica Andrews,555212
Sometimes I'm clueless and I'm clumsy,If I live to be a hundred,Jessica Andrews,Who I Am,Jessica Andrews,555212
But I've got friends that love me,If I live to be a hundred,Jessica Andrews,Who I Am,Jessica Andrews,555212
And they know just where I stand,If I live to be a hundred,Jessica Andrews,Who I Am,Jessica Andrews,555212
It's all a part of me,If I live to be a hundred,Jessica Andrews,Who I Am,Jessica Andrews,555212
And that's who I am,If I live to be a hundred,Jessica Andrews,Who I Am,Jessica Andrews,555212
I am Rosemary's granddaughter,If I live to be a hundred,Jessica Andrews,Who I Am,Jessica Andrews,555212
The spitting image of my father,If I live to be a hundred,Jessica Andrews,Who I Am,Jessica Andrews,555212
And when the day is done,If I live to be a hundred,Jessica Andrews,Who I Am,Jessica Andrews,555212
My momma's still my biggest fan,If I live to be a hundred,Jessica Andrews,Who I Am,Jessica Andrews,555212
Sometimes I'm clueless and I'm clumsy,If I live to be a hundred,Jessica Andrews,Who I Am,Jessica Andrews,555212
But I've got friends that love me,If I live to be a hundred,Jessica Andrews,Who I Am,Jessica Andrews,555212
And they know just where I stand,If I live to be a hundred,Jessica Andrews,Who I Am,Jessica Andrews,555212
It's all a part of me,If I live to be a hundred,Jessica Andrews,Who I Am,Jessica Andrews,555212
And that's who I am,If I live to be a hundred,Jessica Andrews,Who I Am,Jessica Andrews,555212
You're better than the best,Verse 1,Uncle Kracker,Smile,Uncle Kracker,518635
I'm lucky just to linger in your light,Verse 1,Uncle Kracker,Smile,Uncle Kracker,518635
"Cooler than the flip-side of my pillow,  that's right",Verse 1,Uncle Kracker,Smile,Uncle Kracker,518635
Completely unaware,Verse 1,Uncle Kracker,Smile,Uncle Kracker,518635
Nothing can compare to where you send me,Verse 1,Uncle Kracker,Smile,Uncle Kracker,518635
"It lets me know that it's okay (Yeah, it's okay)",Verse 1,Uncle Kracker,Smile,Uncle Kracker,518635
And the moments when my good times start to fade,Verse 1,Uncle Kracker,Smile,Uncle Kracker,518635
You make me smile like the sun,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Fall outta bed,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Sing like a bird,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Dizzy in my head,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Spin like a record,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Crazy on a Sunday night,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
You make me dance like a fool,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Forget how to breathe,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Shine like gold,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Buzz like a bee,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Just the thought of you can drive me wild,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
"Oh, you make me smile",Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Even when you're gone,Verse 2,Uncle Kracker,Smile,Uncle Kracker,518635
Somehow you come along,Verse 2,Uncle Kracker,Smile,Uncle Kracker,518635
Just like a flower poking through the sidewalk crack,Verse 2,Uncle Kracker,Smile,Uncle Kracker,518635
And just like that,Verse 2,Uncle Kracker,Smile,Uncle Kracker,518635
You steal away the rain,Verse 2,Uncle Kracker,Smile,Uncle Kracker,518635
And just like that,Verse 2,Uncle Kracker,Smile,Uncle Kracker,518635
You make me smile like the sun,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Fall outta bed,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Sing like a bird,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Dizzy in my head,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Spin like a record,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Crazy on a Sunday night,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
You make me dance like a fool,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Forget how to breathe,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Shine like gold,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Buzz like a bee,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Just the thought of you can drive me wild,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
"Oh, you make me smile",Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Don't know how I live without you,Bridge,Uncle Kracker,Smile,Uncle Kracker,518635
Cause every time that I get around you,Bridge,Uncle Kracker,Smile,Uncle Kracker,518635
I see the best of me inside your eyes,Bridge,Uncle Kracker,Smile,Uncle Kracker,518635
You make me smile,Bridge,Uncle Kracker,Smile,Uncle Kracker,518635
You make me dance like a fool,Pre-Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Forget how to breathe,Pre-Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Shine like gold,Pre-Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Buzz like a bee,Pre-Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Just the thought of you can drive me wild,Pre-Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
"Oh, you make me smile",Pre-Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
You make me smile like the sun,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Fall outta bed,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Sing like a bird,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Dizzy in my head,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Spin like a record,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Crazy on a Sunday night,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
You make me dance like a fool,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Forget how to breathe,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Shine like gold,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Buzz like a bee,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Just the thought of you can drive me wild,Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
"Oh, you make me smile",Chorus,Uncle Kracker,Smile,Uncle Kracker,518635
Woke up late today and I still feel the sting of the pain,Intro,Sara Evans,A Little Bit Stronger,Sara Evans,701327
But I brushed my teeth anyway,Intro,Sara Evans,A Little Bit Stronger,Sara Evans,701327
I got dressed through the mess and put a smile on my face,Intro,Sara Evans,A Little Bit Stronger,Sara Evans,701327
I got a little bit stronger,Intro,Sara Evans,A Little Bit Stronger,Sara Evans,701327
Riding in the car to work and I'm,Verse 1,Sara Evans,A Little Bit Stronger,Sara Evans,701327
Trying to ignore the hurt so I,Verse 1,Sara Evans,A Little Bit Stronger,Sara Evans,701327
Turned on the radio,Verse 1,Sara Evans,A Little Bit Stronger,Sara Evans,701327
Stupid song made me think of you,Verse 1,Sara Evans,A Little Bit Stronger,Sara Evans,701327
I listened to it for minute,Verse 1,Sara Evans,A Little Bit Stronger,Sara Evans,701327
But then I changed it,Verse 1,Sara Evans,A Little Bit Stronger,Sara Evans,701327
I'm getting a little bit stronger,Verse 1,Sara Evans,A Little Bit Stronger,Sara Evans,701327
Just a little bit stronger,Verse 1,Sara Evans,A Little Bit Stronger,Sara Evans,701327
And I'm done hoping,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
That we could work it out,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
I'm done with how it feels,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
Spinning my wheels,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
Letting you drag my heart around,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
"And, oh, I'm done thinking",Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
You could ever change,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
I know my heart will never be the same,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
But I'm telling myself I'll be okay,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
Even on my weakest days,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
I get a little bit stronger,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
It doesn't happen overnight but you,Verse 2,Sara Evans,A Little Bit Stronger,Sara Evans,701327
Turn around and a month's gone by,Verse 2,Sara Evans,A Little Bit Stronger,Sara Evans,701327
And you realize you haven't cried,Verse 2,Sara Evans,A Little Bit Stronger,Sara Evans,701327
I'm not giving you a hour or a second or another minute longer,Verse 2,Sara Evans,A Little Bit Stronger,Sara Evans,701327
I'm busy getting stronger,Verse 2,Sara Evans,A Little Bit Stronger,Sara Evans,701327
And I'm done hoping,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
That we could work it out,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
I'm done with how it feels,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
Spinning my wheels,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
Letting you drag my heart around,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
"And, oh, I'm done thinking",Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
You could ever change,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
I know my heart will never be the same,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
But I'm telling myself I'll be okay,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
Even on my weakest days,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
I get a little bit stronger,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
Getting along without you baby,Bridge,Sara Evans,A Little Bit Stronger,Sara Evans,701327
I'm better off without you baby,Bridge,Sara Evans,A Little Bit Stronger,Sara Evans,701327
How does it feel without me baby?,Bridge,Sara Evans,A Little Bit Stronger,Sara Evans,701327
I'm getting stronger without you baby,Bridge,Sara Evans,A Little Bit Stronger,Sara Evans,701327
And I'm done hoping,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
That we could work it out,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
I'm done with how it feels,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
Spinning my wheels,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
Letting you drag my heart around,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
"And, oh, I'm done thinking",Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
You could ever change,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
I know my heart will never be the same,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
But I'm telling myself I'll be okay,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
Even on my weakest days,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
I get a little bit stronger,Chorus,Sara Evans,A Little Bit Stronger,Sara Evans,701327
And just a little bit stronger,Outro,Sara Evans,A Little Bit Stronger,Sara Evans,701327
A little bit,Outro,Sara Evans,A Little Bit Stronger,Sara Evans,701327
A little bit,Outro,Sara Evans,A Little Bit Stronger,Sara Evans,701327
A little bit stronger,Outro,Sara Evans,A Little Bit Stronger,Sara Evans,701327
Get a little bit stronger,Outro,Sara Evans,A Little Bit Stronger,Sara Evans,701327
I can fill the darkness with just one flash of light,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
Break the the silence with just one word,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
Warm the fire-started revolution,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
One that can save the world,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
On the steps of Washington sprinkled like confetti,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
"Thousands of people sing, ""We shall overcome""",I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
"The preacher shouts, ""Let freedom ring""",I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
He gave his life for what he believed,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
"You can be a witness, you can be a prophet",I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
You can make the whole world believe,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
"Break the strongest fortress, change the way the world thinks",I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
You can build a bridge where foes can meet,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
"Hope for the future, shout it, don't whisper",I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
'cos dreams are what we make them to be,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
"There is hope in every heartbeat, tiny as it seems",I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
You're a beautiful seed,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
"She's a pastor's daughter, she's only sixteen",I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
But her heart and her belly are breaking at the seams,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
"Her boyfriend blames her, he wants to pay",I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
For the doctor to wash it away,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
"As she lays in the hospital, a Christmas choir is singing",I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
About a child in a manger fragile and small,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
"""Unto us is born a Savior"", she looks at her baby and cries",I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
As she sings him a lullaby,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
"You can be a witness, you can be a prophet",I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
You can make the whole world believe,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
"Break the strongest fortress, change the way the world thinks",I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
You can build a bridge where foes can meet,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
"Hope for the future, for the tiniest whisper",I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
Dreams are what we make them to be,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
"There is hope in every heartbeat, tiny as it seems",I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
You're a beautiful seed,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
"Every hope, every power",I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
Lies in the heart of a seed that flowers,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
Intertwined all across the land,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
We're all seeds in the maker's hand,I can fill the darkness with just one flash of light,Corrinne May,Beautiful Seed,Corrinne May,1602028
You know I want you,Verse 1,Phillip Carlyle,Rewrite the Stars,Zac Efron,3317639
It's not a secret I try to hide,Verse 1,Phillip Carlyle,Rewrite the Stars,Zac Efron,3317639
I know you want me,Verse 1,Phillip Carlyle,Rewrite the Stars,Zac Efron,3317639
So don't keep saying our hands are tied,Verse 1,Phillip Carlyle,Rewrite the Stars,Zac Efron,3317639
You claim it's not in the cards,Verse 1,Phillip Carlyle,Rewrite the Stars,Zac Efron,3317639
And fate is pulling you miles away,Verse 1,Phillip Carlyle,Rewrite the Stars,Zac Efron,3317639
And out of reach from me,Verse 1,Phillip Carlyle,Rewrite the Stars,Zac Efron,3317639
But you're here in my heart,Verse 1,Phillip Carlyle,Rewrite the Stars,Zac Efron,3317639
So who can stop me if I decide,Verse 1,Phillip Carlyle,Rewrite the Stars,Zac Efron,3317639
That you're my destiny?,Verse 1,Phillip Carlyle,Rewrite the Stars,Zac Efron,3317639
What if we rewrite the stars?,Chorus 1,Phillip Carlyle,Rewrite the Stars,Zac Efron,3317639
Say you were made to be mine,Chorus 1,Phillip Carlyle,Rewrite the Stars,Zac Efron,3317639
Nothing could keep us apart,Chorus 1,Phillip Carlyle,Rewrite the Stars,Zac Efron,3317639
You'd be the one I was meant to find,Chorus 1,Phillip Carlyle,Rewrite the Stars,Zac Efron,3317639
"It's up to you, and it's up to me",Chorus 1,Phillip Carlyle,Rewrite the Stars,Zac Efron,3317639
No one can say what we get to be,Chorus 1,Phillip Carlyle,Rewrite the Stars,Zac Efron,3317639
So why don't we rewrite the stars?,Chorus 1,Phillip Carlyle,Rewrite the Stars,Zac Efron,3317639
Maybe the world could be ours,Chorus 1,Phillip Carlyle,Rewrite the Stars,Zac Efron,3317639
Tonight,Chorus 1,Phillip Carlyle,Rewrite the Stars,Zac Efron,3317639
You think it's easy,Verse 2,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
You think I don't want to run to you,Verse 2,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
But there are mountains,Verse 2,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
And there are doors that we can't walk through,Verse 2,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
I know you're wondering why,Verse 2,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
Because we're able to be,Verse 2,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
Just you and me,Verse 2,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
Within these walls,Verse 2,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
But when we go outside,Verse 2,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
You're gonna wake up and see that it was hopeless after all,Verse 2,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
No one can rewrite the stars,Chorus 2,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
How can you say you'll be mine?,Chorus 2,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
Everything keeps us apart,Chorus 2,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
And I'm not the one you were meant to find,Chorus 2,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
"It's not up to you, it's not up to me",Chorus 2,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
When everyone tells us what we can be,Chorus 2,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
How can we rewrite the stars?,Chorus 2,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
Say that the world can be ours,Chorus 2,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
Tonight,Chorus 2,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
All I want is to fly with you,Post Chorus,"Both, Anne Wheeler, Phillip Carlyle",Rewrite the Stars,Zac Efron,3317639
All I want is to fall with you,Post Chorus,"Both, Anne Wheeler, Phillip Carlyle",Rewrite the Stars,Zac Efron,3317639
So just give me all of you,Post Chorus,"Both, Anne Wheeler, Phillip Carlyle",Rewrite the Stars,Zac Efron,3317639
It feels impossible,Post Chorus,"Both, Anne Wheeler, Phillip Carlyle",Rewrite the Stars,Zac Efron,3317639
It's not impossible,Post Chorus,"Both, Anne Wheeler, Phillip Carlyle",Rewrite the Stars,Zac Efron,3317639
Is it impossible?,Post Chorus,"Both, Anne Wheeler, Phillip Carlyle",Rewrite the Stars,Zac Efron,3317639
Say that it's possible,Post Chorus,"Both, Anne Wheeler, Phillip Carlyle",Rewrite the Stars,Zac Efron,3317639
How do we rewrite the stars?,Chorus 3,Phillip Carlyle and Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
Say you were made to be mine?,Chorus 3,Phillip Carlyle and Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
Nothing can keep us apart,Chorus 3,Phillip Carlyle and Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
Cause you are the one I was meant to find,Chorus 3,Phillip Carlyle and Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
"It's up to you, and it's up to me",Chorus 3,Phillip Carlyle and Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
No one can say what we get to be,Chorus 3,Phillip Carlyle and Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
And why don't we rewrite the stars?,Chorus 3,Phillip Carlyle and Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
Changing the world to be ours,Chorus 3,Phillip Carlyle and Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
You know I want you,Outro,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
It's not a secret I try to hide,Outro,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
But I can't have you,Outro,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
We're bound to break and,Outro,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
My hands are tied,Outro,Anne Wheeler,Rewrite the Stars,Zac Efron,3317639
"All I am, all I'll be",Verse 1,Mark Wills,I Do (Cherish You),Mark Wills,1485300
"Everything in this world, all that I'll ever need",Verse 1,Mark Wills,I Do (Cherish You),Mark Wills,1485300
"Is in your eyes, shining at me",Verse 1,Mark Wills,I Do (Cherish You),Mark Wills,1485300
"When you smile I can feel, all my passion unfolding",Verse 1,Mark Wills,I Do (Cherish You),Mark Wills,1485300
Your hand brushes mine,Verse 1,Mark Wills,I Do (Cherish You),Mark Wills,1485300
And a thousand sensations seduce me 'cause I,Verse 1,Mark Wills,I Do (Cherish You),Mark Wills,1485300
"I do, cherish you",Chorus,Mark Wills,I Do (Cherish You),Mark Wills,1485300
For the rest of my life,Chorus,Mark Wills,I Do (Cherish You),Mark Wills,1485300
You don't have to think twice,Chorus,Mark Wills,I Do (Cherish You),Mark Wills,1485300
"I will, love you still",Chorus,Mark Wills,I Do (Cherish You),Mark Wills,1485300
"From the depths of my soul, it's beyond my control",Chorus,Mark Wills,I Do (Cherish You),Mark Wills,1485300
I've waited so long to say this to you,Chorus,Mark Wills,I Do (Cherish You),Mark Wills,1485300
If you're asking do I love you this much,Chorus,Mark Wills,I Do (Cherish You),Mark Wills,1485300
I do,Chorus,Mark Wills,I Do (Cherish You),Mark Wills,1485300
"In my world, before you",Verse 2,Mark Wills,I Do (Cherish You),Mark Wills,1485300
"I lived outside my emotions, didn't know where I was going",Verse 2,Mark Wills,I Do (Cherish You),Mark Wills,1485300
"'Til that day, I found you",Verse 2,Mark Wills,I Do (Cherish You),Mark Wills,1485300
How you opened my life to a new paradise,Verse 2,Mark Wills,I Do (Cherish You),Mark Wills,1485300
In a world torn by change,Verse 2,Mark Wills,I Do (Cherish You),Mark Wills,1485300
Still with all of my heart until my dying day,Verse 2,Mark Wills,I Do (Cherish You),Mark Wills,1485300
"I do, cherish you",Chorus,Mark Wills,I Do (Cherish You),Mark Wills,1485300
For the rest of my life,Chorus,Mark Wills,I Do (Cherish You),Mark Wills,1485300
You don't have to think twice,Chorus,Mark Wills,I Do (Cherish You),Mark Wills,1485300
"I will, love you still",Chorus,Mark Wills,I Do (Cherish You),Mark Wills,1485300
"From the depths of my soul, it's beyond my control",Chorus,Mark Wills,I Do (Cherish You),Mark Wills,1485300
I've waited so long to say this to you,Chorus,Mark Wills,I Do (Cherish You),Mark Wills,1485300
If you're asking do I love you this much,Chorus,Mark Wills,I Do (Cherish You),Mark Wills,1485300
"Yes, I do",Chorus,Mark Wills,I Do (Cherish You),Mark Wills,1485300
If you're asking do I love you this much,Chorus,Mark Wills,I Do (Cherish You),Mark Wills,1485300
"I do, oh, I do",Chorus,Mark Wills,I Do (Cherish You),Mark Wills,1485300
Every night in my dreams,Verse 1,Céline Dion,My Heart Will Go On,Céline Dion,74345
"I see you, I feel you",Verse 1,Céline Dion,My Heart Will Go On,Céline Dion,74345
That is how I know you go on,Verse 1,Céline Dion,My Heart Will Go On,Céline Dion,74345
Far across the distance,Verse 1,Céline Dion,My Heart Will Go On,Céline Dion,74345
And spaces between us,Verse 1,Céline Dion,My Heart Will Go On,Céline Dion,74345
You have come to show you go on,Verse 1,Céline Dion,My Heart Will Go On,Céline Dion,74345
"Near, far, wherever you are",Chorus,Céline Dion,My Heart Will Go On,Céline Dion,74345
I believe that the heart does go on,Chorus,Céline Dion,My Heart Will Go On,Céline Dion,74345
"Once more, you open the door",Chorus,Céline Dion,My Heart Will Go On,Céline Dion,74345
And you're here in my heart,Chorus,Céline Dion,My Heart Will Go On,Céline Dion,74345
And my heart will go on and on,Chorus,Céline Dion,My Heart Will Go On,Céline Dion,74345
Love can touch us one time,Verse 2,Céline Dion,My Heart Will Go On,Céline Dion,74345
And last for a lifetime,Verse 2,Céline Dion,My Heart Will Go On,Céline Dion,74345
And never let go 'til we're gone,Verse 2,Céline Dion,My Heart Will Go On,Céline Dion,74345
Love was when I loved you,Verse 2,Céline Dion,My Heart Will Go On,Céline Dion,74345
One true time I'd hold to,Verse 2,Céline Dion,My Heart Will Go On,Céline Dion,74345
"In my life, we'll always go on",Verse 2,Céline Dion,My Heart Will Go On,Céline Dion,74345
"Near, far, wherever you are",Chorus,Céline Dion,My Heart Will Go On,Céline Dion,74345
I believe that the heart does go on,Chorus,Céline Dion,My Heart Will Go On,Céline Dion,74345
"Once more, you open the door",Chorus,Céline Dion,My Heart Will Go On,Céline Dion,74345
And you're here in my heart,Chorus,Céline Dion,My Heart Will Go On,Céline Dion,74345
And my heart will go on and on,Chorus,Céline Dion,My Heart Will Go On,Céline Dion,74345
"You're here, there's nothing I fear",Outro,Céline Dion,My Heart Will Go On,Céline Dion,74345
And I know that my heart will go on,Outro,Céline Dion,My Heart Will Go On,Céline Dion,74345
We'll stay forever this way,Outro,Céline Dion,My Heart Will Go On,Céline Dion,74345
You are safe in my heart,Outro,Céline Dion,My Heart Will Go On,Céline Dion,74345
And my heart will go on and on,Outro,Céline Dion,My Heart Will Go On,Céline Dion,74345
"Should've stayed, were there signs, I ignored?",Verse 1,Linkin Park,One More Light,Linkin Park,2990388
"Can I help you, not to hurt, anymore?",Verse 1,Linkin Park,One More Light,Linkin Park,2990388
"We saw brilliance, when the world, was asleep",Verse 1,Linkin Park,One More Light,Linkin Park,2990388
"There are things that we can have, but can't keep",Verse 1,Linkin Park,One More Light,Linkin Park,2990388
If they say,Chorus,Linkin Park,One More Light,Linkin Park,2990388
Who cares if one more light goes out?,Chorus,Linkin Park,One More Light,Linkin Park,2990388
In the sky of a million stars,Chorus,Linkin Park,One More Light,Linkin Park,2990388
"It flickers, flickers",Chorus,Linkin Park,One More Light,Linkin Park,2990388
Who cares when someone's time runs out?,Chorus,Linkin Park,One More Light,Linkin Park,2990388
If a moment is all we are,Chorus,Linkin Park,One More Light,Linkin Park,2990388
"Or quicker, quicker",Chorus,Linkin Park,One More Light,Linkin Park,2990388
Who cares if one more light goes out?,Chorus,Linkin Park,One More Light,Linkin Park,2990388
Well I do,Chorus,Linkin Park,One More Light,Linkin Park,2990388
"The reminders, pull the floor from your feet",Verse 2 ,Linkin Park,One More Light,Linkin Park,2990388
